stand,plot,x,y,texture,bh.age,radius
48,48-1,473624,5016592,silty clay,34,8
48,48-2,473594,5016536,sandy clay loam,34,8
48,48-3,473571,5016514,sandy clay loam,34,8
48,48-4,473541,5016493,clay,34,8
48,48-5,473512,5016459,sandy clay loam,34,8
48,48-6,473495,5016440,silty clay,34,8
48,48-7,473469,5016422,silty clay,34,8
48,48-8,473285,5016407,clay,34,8
48,48-9,473301,5016437,silty clay loam,34,8
48,48-10,473319,5016461,clay,34,8
48,48-11,473335,5016484,sandy clay,34,8
48,48-12,473349,5016508,silty clay loam,34,8
48,48-13,473363,5016537,clay,34,8
48,48-14,473376,5016568,silty clay,34,8
48,48-15,473633,5016428,clay,34,8
48,48-16,473666,5016433,sandy clay loam,34,8
48,48-17,473685,5016447,sandy clay loam,34,8
48,48-18,473713,5016441,clay,34,8
54,54-1,472582,5017340,clay,35,8
54,54-2,472604,5017305,sandy clay loam,35,8
54,54-3,472619,5017280,clay,35,8
54,54-4,472633,5017254,silty clay,35,8
54,54-5,472643,5017227,clay loam,35,8
54,54-6,472559,5017379,sandy clay loam,35,8
54,54-7,472956,5017090,clay loam,35,8
54,54-8,472953,5017058,clay loam,35,8
54,54-9,472953,5017033,sandy clay loam,35,8
54,54-10,472952,5017002,sandy clay,35,8
54,54-11,472928,5016982,clay loam,35,8
54,54-12,472795,5017338,clay,35,8
54,54-13,472795,5017307,sandy clay loam,35,8
54,54-14,472795,5017271,clay,35,8
54,54-15,472794,5017244,sandy clay,35,8
54,54-16,472797,5017206,sandy clay,35,8
54,54-17,472780,5017147,sandy clay,35,8
54,54-18,472755,5017154,clay loam,35,8
54,54-19,472717,5017157,clay,35,8
54,54-20,472684,5017153,clay,35,8
54,54-21,472656,5017179,sandy clay loam,35,8
54,54-22,472614,5017355,clay,35,8
54,54-23,472630,5017336,clay,35,8
54,54-24,472642,5017305,silty clay,35,8
54,54-25,472662,5017292,silty clay,35,8
54,54-26,472673,5017261,clay,35,8
54,54-27,472692,5017241,clay,35,8
54,54-28,472644,5017358,sandy clay loam,35,8
54,54-29,472662,5017338,sandy clay loam,35,8
54,54-30,472675,5017308,sandy clay,35,8
54,54-31,472693,5017281,sandy clay loam,35,8
54,54-32,472716,5017255,sandy clay,35,8
54,54-33,472763,5017267,sandy clay loam,35,8
54,54-34,472760,5017290,sandy clay,35,8
54,54-35,472760,5017325,sandy clay,35,8
54,54-36,472759,5017346,clay,35,8
54,54-37,472686,5017369,sandy clay loam,35,8
54,54-38,472707,5017341,sandy clay,35,8
73,73-1,471358,5016853,sandy clay loam,37,8
73,73-2,471336,5016847,sandy loam,37,8
73,73-3,471314,5016841,sandy loam,37,8
73,73-4,471284,5016845,sandy clay loam,37,8
73,73-5,471256,5016843,clay loam,37,8
73,73-6,471248,5016840,clay,37,8
73,73-7,471225,5016838,silty clay loam,37,8
73,73-8,471209,5016833,silty clay,37,8
73,73-9,471192,5016825,silty clay,37,8
73,73-10,471206,5016811,silty clay,37,8
73,73-11,471226,5016813,clay loam,37,8
73,73-12,471251,5016819,sandy clay loam,37,8
73,73-13,471274,5016825,sandy clay loam,37,8
73,73-14,471293,5016825,sandy clay loam,37,8
73,73-15,471325,5016823,clay,37,8
73,73-16,471348,5016823,sandy clay loam,37,8
73,73-17,471350,5016797,clay,37,8
73,73-18,471329,5016806,sandy clay,37,8
73,73-19,471300,5016802,clay,37,8
73,73-20,471266,5016794,sandy loam,37,8
73,73-21,471247,5016795,clay,37,8
73,73-22,471217,5016786,silty clay,37,8
110,110-1,474032,5014989,clay loam,37,8
110,110-2,474007,5014989,clay,37,8
110,110-3,473984,5014990,silty clay,37,8
110,110-4,473959,5014990,loam,37,8
110,110-5,473931,5014990,sandy clay,37,8
110,110-6,473888,5014989,sandy clay loam,37,8
110,110-7,473865,5014988,sandy clay loam,37,8
110,110-8,473844,5014988,clay loam,37,8
110,110-9,474166,5014937,silty clay loam,37,8
110,110-10,474163,5014953,silty clay loam,37,8
110,110-11,473933,5014899,sandy clay,37,8
110,110-12,473905,5014898,sandy clay,37,8
110,110-13,473882,5014900,sandy clay loam,37,8
110,110-14,473838,5014896,clay loam,37,8
110,110-15,473810,5014894,clay loam,37,8
110,110-16,473788,5015000,clay loam,37,8
110,110-17,473794,5014969,clay loam,37,8
110,110-18,473796,5014954,clay loam,37,8
110,110-19,473798,5014921,clay,37,8
110,110-20,473962,5014892,clay loam,37,8
110,110-21,473969,5014862,clay,37,8
110,110-22,473998,5014823,silty clay,37,8
110,110-23,474000,5014780,silty clay,37,8
125,125-1,471343,5016424,sandy clay,25,6.5
125,125-2,471326,5016446,sandy clay,25,6.5
125,125-3,471307,5016470,sandy clay,25,6.5
125,125-4,471279,5016498,sandy clay,25,6.5
125,125-5,471243,5016502,sandy clay loam,25,6.5
125,125-6,471213,5016499,clay,25,6.5
134,134-1,472500,5014217,,26,8
134,134-2,472528,5014216,,26,8
134,134-3,472559,5014221,,26,8
