texture.code,texture,pct.silt,pct.sand,pct.clay,awhc,sat.cond,,notes
1,very course sand,5,92,3,5,108.1,,from Rawls et al 1998
2,course sand,5,92,3,5,108.1,,
3,sand,4,92,4,5,108.1,,
4,fine sand,3,90,7,4,108.1,,
5,very fine sand,3,90,7,4,108.1,,
7,loamy coarse sand,12,82,6,7,96.7,,
8,loamy sand,12,82,6,7,96.7,,
9,loamy fine sand,12,82,6,8,96.7,,
11,coarse sandy loam,21,67,12,10,50.3,,
12,sandy loam,21,67,12,10,50.3,,
13,fine sandy loam,17,69,14,11,50.3,,
14,very fine sandy loam,17,69,14,11,50.3,,
21,silt,87,7,6,25,22,,
31,loam,37,41,22,14,15.5,,
32,silt loam,61,20,19,18,16.1,,
33,sandy clay loam,15,58,27,8,11.3,,
34,clay loam,31,34,35,10,4.3,,
35,silty clay loam,57,10,33,13,5.7,,
41,sandy clay,15,49,36,8,1.4,,
42,silty clay,47,6,47,12,3.7,,
43,clay,27,22,51,8,1.1,,
51,ash and pumice,,,,,,,
