stand,plot,tree,dbh.2014,rad.inc,species,exp
54,1,1,28,9,psme,50
54,1,2,14.1,4,psme,50
54,1,3,26.1,10,psme,50
54,1,4,27.7,9,psme,50
54,1,5,32.5,15,psme,50
54,1,6,20,4,psme,50
54,1,7,32.3,13,psme,50
54,1,8,32.4,10,psme,50
54,1,9,26.7,5,psme,50
54,1,10,42,13,psme,50
54,1,11,22.6,3,psme,50
54,1,12,28.5,15,psme,50
54,1,13,30.4,17,psme,50
54,1,14,22.3,4,psme,50
54,1,15,40.1,15,psme,50
54,2,1,27.9,11,psme,50
54,2,2,35.1,15,psme,50
54,2,3,24.1,5,psme,50
54,2,4,29,7,psme,50
54,2,5,30.1,15,psme,50
54,2,6,35.9,12,psme,50
54,2,7,30.5,8,psme,50
54,2,8,30.7,10,psme,50
54,2,9,36.1,9,psme,50
54,2,10,25.9,8,psme,50
54,2,11,42.2,12,psme,50
54,3,1,33.6,13,psme,50
54,3,2,27.2,6,psme,50
54,3,3,36,14,psme,50
54,3,4,32.5,7,psme,50
54,3,5,37.8,9,psme,50
54,3,6,22.7,6,psme,50
54,3,7,27.2,8,psme,50
54,3,8,30.1,10,psme,50
54,3,9,42.7,17,psme,50
54,3,10,30.5,13,psme,50
54,3,11,24.8,7,psme,50
54,4,1,30.3,8,psme,50
54,4,2,28,7,psme,50
54,4,3,33.6,11,psme,50
54,4,4,23.8,10,psme,50
54,4,5,30.7,4,psme,50
54,4,6,36.6,10,psme,50
54,4,7,31.3,10,psme,50
54,4,8,34.2,12,psme,50
54,4,9,27.9,9,psme,50
54,4,10,30.5,8,psme,50
54,4,11,37.6,12,psme,50
54,4,12,30.6,8,psme,50
54,4,13,26.5,8,psme,50
54,4,14,25.5,5,psme,50
54,5,1,33.8,11,psme,50
54,5,2,26.8,5,psme,50
54,5,3,22.8,5,psme,50
54,5,4,35.6,13,psme,50
54,5,5,33.5,14,psme,50
54,5,6,34.7,8,psme,50
54,5,7,25.5,13,psme,50
54,5,8,17.5,6,alru,50
54,5,9,20.4,2,psme,50
54,5,10,33.6,21,psme,50
54,5,11,27.2,6,psme,50
54,5,12,27.8,7,psme,50
54,5,13,27.4,10,psme,50
54,5,14,29,11,psme,50
54,6,1,28.3,8,psme,50
54,6,2,37.4,15,psme,50
54,6,3,29,9,psme,50
54,6,4,28.9,13,psme,50
54,6,5,30.1,14,psme,50
54,6,6,30.7,4,psme,50
54,6,7,21.2,4,psme,50
54,6,8,38.7,10,psme,50
54,6,9,27.2,10,psme,50
54,6,10,16.4,3,psme,50
54,6,11,39.9,23,psme,50
54,6,12,37.1,22,psme,50
54,6,13,30.6,9,psme,50
54,6,14,39.2,18,psme,50
54,6,15,36,16,psme,50
54,6,16,26.2,11,psme,50
54,7,1,26.3,13,psme,50
54,7,2,26.8,12,psme,50
54,7,3,31.5,20,psme,50
54,7,4,25.8,12,psme,50
54,7,5,15.6,5,psme,50
54,7,6,25.5,12,psme,50
54,7,7,25,13,psme,50
54,7,8,17.3,5,psme,50
54,7,9,24.8,11,psme,50
54,7,10,22.1,12,psme,50
54,7,11,17.5,5,psme,50
54,7,12,12.2,5,psme,50
54,7,13,22,11,psme,50
54,7,14,22.2,15,psme,50
54,7,15,25.7,16,psme,50
54,7,16,16.6,4,psme,50
54,7,17,29.3,15,psme,50
54,8,1,31.7,7,psme,50
54,8,2,25.8,7,psme,50
54,8,3,31.2,10,psme,50
54,8,4,23.4,6,psme,50
54,8,5,23.2,4,psme,50
54,8,6,23.2,5,psme,50
54,8,7,27.6,7,psme,50
54,8,8,28.3,8,psme,50
54,8,9,14.3,4,psme,50
54,8,10,29.4,11,psme,50
54,8,11,30.8,8,psme,50
